tconst,originalTitle,titleType,startYear,genres,runtimeMinutes,akas_title,region,averageRating,numVotes,overview,poster_path,production_countries
tt0783521,First Flight,short,2006,"['Animation', 'Comedy', 'Family']",7,Premier vol,FR,7.0,608,"The story of a fastidiously organized businessman, whose perspective on life is forever changed through an unexpected encounter with a tiny fledgling bird.",/dRgpgc98Bqklwb6YG7C73WKPSbR.jpg,['US']
tt0097118,Korova,short,1989,"['Animation', 'Drama', 'Short']",10,La vache,FR,7.4,1108,Animated short based on the story of the same name by Andrei Platonov.,/jLuwNjef9OoFIkh0EfQn2kz3rIg.jpg,['SU']
tt0475730,Son smeshnogo cheloveka,short,1992,"['Animation', 'Drama', 'Fantasy']",20,Le rêve d'un homme ridicule,FR,7.8,1280,"An animated short film based on the 1877 short story written by Fyodor Dostoyevsky. It chronicles the experiences of a man who decides that there is nothing to live for in the world, and is therefore determined to commit suicide. A chance encounter with a young girl changes his mind.",/r6f7ufGatqyjbJwaLLo2qs3zhk7.jpg,['RU']
tt0085448,Do pivnice,short,1983,"['Animation', 'Fantasy', 'Horror']",15,Dans la cave,FR,7.5,1184,"A little girl goes down to the basement cellar to fetch some potatoes, and finds all her hidden fears about the cellar depicted in animated form.",/1fiFXg7zvIUWXe9CgISV2id91IF.jpg,['XC']
tt0066127,Nan va Koutcheh,short,1970,"['Drama', 'Short']",10,Le pain et la rue,FR,7.0,1560,"Returning from an errand to buy bread, a boy finds a menacing dog blocking his way through the alley he must go down to get home. Frightened by the dog's barking, he asks various passers-by for help but no-one pays him any attention, and he must find a solution all by himself: he throws the dog a piece of bread and, while the animal is devouring it, he continues on his way home.",/mg0DTTYXo1iBJttEZ4jiyHaxGmI.jpg,['IR']
tt0225033,Agarrando pueblo,short,1978,"['Comedy', 'Short']",28,Agarrando pueblo,FR,7.6,1044,"Two filmmakers travel around impoverished sectors of the cities of Bogotá and Cali in search of the images of abjection needed to complete a documentary commissioned by German TV. Meanwhile, another camera captures these “vampire” filmmakers feeding off the misery of their marginal subjects.",/vgZtCNWbIaxvIl5fYrLmJ4nH3h4.jpg,['CO']
tt0411819,Rupture,short,1961,"['Comedy', 'Drama', 'Romance']",11,Rupture,FR,7.0,686,"A man receives a breakup letter from his sweetheart, who sends him back his photo, in pieces. The pained lover decides to reply. Fountain pen, penholder, desk, stamps, paper and inkwell all contrive diabolically to thwart him.",/ic7i4HJwPy6NJ0Ed0CEFxc7jttf.jpg,['FR']
tt2922078,La lampe au beurre de yak,short,2013,"['Family', 'Short']",15,La lampe au beurre de yak,FR,7.0,782,A young itinerant photographer and his assistant suggest to Tibetan nomads to photograph them in front of various background.,/cWecsDJliabc8QbpeO9SYURNO15.jpg,"['CN', ' FR']"
tt2616880,The Blue Umbrella,short,2013,"['Animation', 'Drama', 'Family']",7,Le Parapluie Bleu,FR,7.5,11476,"It is just another evening commute until the rain starts to fall, and the city comes alive to the sound of dripping rain pipes, whistling awnings and gurgling gutters.",/iSWV7ra8HJ3gYnZFMMrPe8CBbrv.jpg,['US']
tt2396866,Lil Tokyo Reporter,short,2012,"['Biography', 'Crime', 'Drama']",\N,Lil Tokyo Reporter,FR,8.3,1351,"1935 Los Angeles, community leader Sei Fujii uncovers the corrupt activities of his community's underground mafia. He must choose between saving the face of his deteriorating community and confronting the issues head on through his newspaper. Based on a true story.",/kybYVtJk4g4yAWzVQh7CkaZSvd9.jpg,['US']
