Titre,Lien_du_titre,information,image,date,ldb,ldb1,information2,information3,notation_detail,Duree,Genre,Origine,Annee,Realisateur,Acteurs,Conseils,note,Synopsis
POM-POM LADIES,https://www.cine974.com/film/pom-pom-ladies/44593/, 1705,https://www.cine974.com/images/affiches/moyen/pom-pom-ladies-uiIrXeXP.jpg,"
								2019								",1705,3.6,1h31,4869, (23),1h31,Comédie,"Américain, Britannique",2019,Zara Hayes,"
	
			avec Diane Keaton, Jacki Weaver, Pam Grier, Celia Weston, Phyllis Somerville,  plus...
	",, 3.6 | 23 avis ,"Pour ces femmes, la retraite n'est pas de tout repos… Bien décidées à lutter contre les préjugés, elles veulent prouver qu'il n'y a pas d'âge pour devenir pom-pom girl."
CONJURING 2: LE CAS ENFIELD,https://www.cine974.com/film/conjuring-2-le-cas-enfield/7495/, 1706,https://www.cine974.com/images/affiches/moyen/conjuring-2--le-cas-enfield-JtUbHUdz.jpg,"
								2016								",1706,3.6,2h13,21213, (23),2h13,Epouvante-horreur,Américain,2016,James Wan,"
	
			avec Vera Farmiga, Patrick Wilson, Frances O'Connor, Madison Wolfe, Simon McBurney,  plus...
	",Interdit aux moins de 12 ans, 3.6 | 23 avis ,Une nouvelle histoire vraie issue des dossiers d’Ed et Lorraine Warren : l’une de leurs enquêtes les plus traumatisantes. Lorraine et Ed Warren se rendent dans le nord de Londres pour venir en aide à une mère qui élève seule ses quatre enfants dans une maison hantée par des esprits maléfiques. Il s'agira d'une de leurs enquêtes paranormales les plus terrifiantes…
L'ENFANT SAUVAGE,https://www.cine974.com/film/l-enfant-sauvage/26772/, 1707,https://www.cine974.com/images/affiches/moyen/l-enfant-sauvage-eLmAJQUV.jpg,"
								1970								",1707,3.6,1h30,5698, (23),1h30,Drame,Français,,François Truffaut,"
	
			avec Jean-Pierre Cargol, François Truffaut, Jean Dasté, Françoise Seigner, Annie Miller,  plus...
	",, 3.6 | 23 avis ,"L'histoire d'un ""enfant-loup"" decouvert en 1798, en pleine foret. D'apres le recit ecrit par un medecin au debut du siecle."
LES NOCES FUNÈBRES,https://www.cine974.com/film/les-noces-funebres/23707/, 1708,https://www.cine974.com/images/affiches/moyen/les-noces-fun--bres-4IynEIGH.jpg,"
								2004								",1708,3.6,1h17,10231, (23),1h17,Animation,Américain,2004,Mike Johnson,"
	
			avec Johnny Depp, Helena Bonham Carter, Emily Watson, Tracey Ullman, Paul Whitehouse,  plus...
	",, 3.6 | 23 avis ,"Au XIXe siècle, dans un petit village d'Europe de l'est, Victor, un jeune homme, découvre le monde de l'au-delà après avoir épousé, sans le vouloir, le cadavre d'une mystérieuse mariée. Pendant son voyage, sa promise, Victoria l'attend désespérément dans le monde des vivants. Bien que la vie au Royaume des Morts s'avère beaucoup plus colorée et joyeuse que sa véritable existence, Victor apprend que rien au monde, pas même la mort, ne pourra briser son amour pour sa femme."
VIVANTS,https://www.cine974.com/film/vivants/49172/, 1709,https://www.cine974.com/images/affiches/moyen/vivants-tyeDrxJf.jpg,"
								2023								",1709,3.6,1h26,3006, (22),1h26,Drame,"Belge, Français",2023,Alix Delaporte,"
	
			avec Pascale Arbillot, Jean-Charles Clichet, Vincent Elbaz, Alice Isaaz, Pierre Lottin,  plus...
	","conseillé en Amoureux, entre Amis, entre Filles, en Solo", 3.6 | 22 avis ,"Gabrielle, 30 ans, intègre une prestigieuse émission de reportages. Elle doit très vite trouver sa place au sein d’une équipe de grands reporters. Malgré l’engagement de Vincent, leur rédacteur en chef, ils sont confrontés au quotidien d’un métier qui change, avec des moyens toujours plus réduits, face aux nouveaux canaux de l’information. Habités par leur passion pour la recherche de la vérité, leur sens de l’humour et de la solidarité, ils vont tout tenter pour retrouver la foi de leurs débuts et se réinventer."
LE GRAND CIRQUE,https://www.cine974.com/film/le-grand-cirque/48266/, 1710,https://www.cine974.com/images/affiches/moyen/le-grand-cirque-yIzhbcW7.jpg,"
								2023								",1710,3.6,1h25,4920, (22),1h25,Comédie,Français,2023,Booder,"
	
			avec Booder, Gerard Giroudon, Sarah Jague, Youssef Sahraoui, 
	","conseillé en Famille, en Amoureux, entre Amis, entre Filles, entre Mecs", 3.6 | 22 avis ,"A l’occasion d’une visite à un ami à l’hôpital pédiatrique Robert Debré à Paris, Momo, un comédien en manque de rôles, fait la rencontre de Michel, le directeur d’une association de clowns bénévoles, qui rend visite aux enfants hospitalisés. Grace aux encouragements et à la confiance de Michel, Momo se laisse convaincre de jouer un rôle dans la vie de ces enfants. Son défi : les faire rire malgré la maladie. Très rapidement, les enfants tombent sous son charme cartoonesque et Momo fait partie intégrante du service pédiatrique. Avec la complicité de Michel son mentor et de Bénédicte, une infirmière de l’hôpital, Momo va avoir l’idée de mettre en scène un spectacle de cirque au sein de l’hôpital dans lequel chaque enfant aura un rôle déterminant…"
LA FAMEUSE INVASION DES OURS EN SICILE,https://www.cine974.com/film/la-fameuse-invasion-des-ours-en-sicile/41355/, 1711,https://www.cine974.com/images/affiches/moyen/la-fameuse-invasion-des-ours-en-sicile-vzBHtreU.jpg,"
								2019								",1711,3.6,1h22,9121, (22),1h22,Animation,"Français, Italien",2019,Lorenzo Mattotti,"
	
			avec Jean-Claude Carrière, Leïla Bekhti, Thomas Bidegain, Beppe Chierici, Arthur Dupont,  plus...
	","conseillé en Famille, pour Marmailles", 3.6 | 22 avis ,"Tout commence le jour où Tonio, le fils du roi des ours, est enlevé par des chasseurs dans les montagnes de Sicile… Profitant de la rigueur d’un hiver qui menace son peuple de famine, le roi décide alors d’envahir la plaine où habitent les hommes. Avec l’aide de son armée et d’un magicien, il réussit à vaincre et finit par retrouver Tonio. Mais il comprend vite que le peuple des ours n’est pas fait pour vivre au pays des hommes..."
GET OUT,https://www.cine974.com/film/get-out/7990/, 1712,https://www.cine974.com/images/affiches/moyen/get-out-stErkgAa.jpg,"
								2017								",1712,3.6,1h44,16116, (21),1h44,Thriller,Américain,2017,Jordan Peele,"
	
			avec Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford, Caleb Landry Jones,  plus...
	",Interdit aux moins de 12 ans, 3.6 | 21 avis ,"Couple mixte, Chris et sa petite amie Rose  filent le parfait amour. Le moment est donc venu de rencontrer la belle famille, Missy et Dean lors d’un week-end sur leur domaine dans le nord de l’État. Chris commence par penser que l’atmosphère tendue est liée à leur différence de couleur de peau, mais très vite une série d’incidents de plus en plus inquiétants lui permet de découvrir l’inimaginable."
SAUVER OU PÉRIR,https://www.cine974.com/film/sauver-ou-perir/39331/, 1713,https://www.cine974.com/images/affiches/moyen/sauver-ou-perir-Ucjzuxxl.jpg,"
								2017								",1713,3.6,1h56,8131, (21),1h56,Drame,Français,2017,Frédéric Tellier,"
	
			avec Pierre Niney, Anaïs Demoustier, Vincent Rottiers, Chloé Stefani, Sami Bouajila,  plus...
	",, 3.6 | 21 avis ,"Franck est Sapeur-Pompier de Paris. Il sauve des gens. Il vit dans la caserne avec sa femme qui accouche de jumelles. Il est heureux. Lors d’une intervention sur un incendie, il se sacrifie pour sauver ses hommes. A son réveil dans un centre de traitement des Grands Brûlés, il comprend que son visage a fondu dans les flammes. Il va devoir réapprendre à vivre, et accepter d’être sauvé à son tour."
FREE GUY,https://www.cine974.com/film/free-guy/44798/, 1714,https://www.cine974.com/images/affiches/moyen/free-guy-P89f8UCx.jpg,"
								2021								",1714,3.6,1h55,91664, (21),1h55,Action,Américain,2021,Shawn Levy,"
	
			avec Ryan Reynolds, Jodie Comer, Lil Rel Howery, Joe Keery, Utkarsh Ambudkar,  plus...
	",, 3.6 | 21 avis ,"Un employé de banque, découvrant un jour qu’il n’est en fait qu’un personnage d’arrière-plan dans un jeu vidéo en ligne, décide de devenir le héros de sa propre histoire, quitte à la réécrire. Evoluant désormais dans un monde qui ne connaît pas de limites, il va tout mettre en œuvre pour le sauver à sa manière, avant qu’il ne soit trop tard…"
UN MOMENT D'ÉGAREMENT,https://www.cine974.com/film/un-moment-d-egarement/275/, 1715,https://www.cine974.com/images/affiches/moyen/un-moment-d---garement-dCmx8Iqm.jpg,"
								2014								",1715,3.6,1h45,24337, (20),1h45,Comédie,Français,2014,Jean-François Richet,"
	
			avec Vincent Cassel, François Cluzet, Lola Le Lann, Alice Isaaz, Philippe Nahon,  plus...
	",, 3.6 | 20 avis ,
PAS DE VAGUES,https://www.cine974.com/film/pas-de-vagues/49200/, 1716,https://www.cine974.com/images/affiches/moyen/pas-de-vagues-Z1lzFWzI.jpg,"
								2024								",1716,3.6,1h31,5888, (20),1h31,Drame,"Belge, Français",2024,Teddy Lussi-Modeste,"
	
			avec François Civil, Shaïn Boumedine, Toscane Duquesne, Mallory Wanecque, Bakary Kebe,  plus...
	",, 3.6 | 20 avis ,"Un jeune professeur est accusé de harcèlement par une de ses élèves. Même s'il est innocent, l'incident tourne à l'incendie et embrase le collège."
"24 JOURS, LA VERITE SUR L'AFFAIRE ILAN HALIMI",https://www.cine974.com/film/24-jours-la-verite-sur-l-affaire-ilan-halimi/363/, 1717,https://www.cine974.com/images/affiches/moyen/24-jours--la-verite-sur-l-affaire-ilan-halimi-Mq1XFU86.jpg,"
								2014								",1717,3.6,1h50,10424, (20),1h50,Drame,Français,2014,Alexandre Arcady,"
	
			avec Zabou Breitman, Pascal Elbé, Jacques Gamblin, Sylvie Testud, Eric Caravaca,  plus...
	","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs ", 3.6 | 20 avis ,"Elle est entrée dans une boutique de téléphonie sur le boulevard Voltaire. Elle a fait mine de s'intéresser aux nouveaux portables, a obtenu le numéro du vendeur et s'en est allée. Elle l'a rappelé dès le lendemain, lui a dit qu'elle voulait le revoir. Ilan ne s'est pas méfié. Il avait vingt-trois ans, la vie devant lui? Comment pouvait-il se douter qu'en rejoignant cette jolie fille dans un café de la porte d'Orléans, il avait rendez-vous avec la mort ? Le vendredi 20 janvier 2006, Ilan Halimi, choisi par le gang des Barbares parce qu'il était juif, est enlevé et conduit dans un  appartement de Bagneux. Il y sera séquestré et torturé pendant trois semaines avant d'être jeté dans un bois par ses bourreaux. Retrouvé gisant nu le long d'une voie de chemin de fer à Sainte-Geneviève-des-Bois, il ne survivra pas à son calvaire. Dans ce film, Ruth Halimi revient sur ces 24 jours de cauchemar. 24 jours au cours desquels elle aura reçu, elle et son mari, Didier, plus de six cents appels, des demandes de rançon dont le montant ne cessera de changer, des insultes, des menaces, des photos de son fils supplicié?  24 jours d'angoisse de toute une famille, contrainte de garder le silence pour laisser travailler la police criminelle. Mais le 36 Quai des Orfèvres ne sait pas à quels individus il a affaire. Personne ne mesure la haine antisémite qui habite les ravisseurs, et ne s'imagine qu'Ilan allait perdre la vie..."
LET’S DANCE,https://www.cine974.com/film/lets-dance/40320/, 1718,https://www.cine974.com/images/affiches/moyen/let---s-dance-d4saNiFc.jpg,"
								2018								",1718,3.6,1h47,11978, (20),1h47,Comédie dramatique,Français,2018,Ladislas Chollat,"
	
			avec Rayane Bensetti, Alexia Giordano, Guillaume De Tonquédec, Fiorella Campanella, Mehdi Kerkouche,  plus...
	",, 3.6 | 20 avis ,"Joseph, danseur passionné de hip-hop, refuse d’entrer dans l’entreprise de son père pour tenter sa chance à Paris. Avec sa copine Emma et son meilleur ami Karim, il intègre le crew parisien de Youri, un célèbre breaker, pour tenter de gagner un concours international de hip-hop. Mais le jour des sélections, rien ne se passe comme prévu : Joseph est trahi par Emma et Youri, le groupe explose. Recueilli par Rémi, un ancien danseur étoile devenu professeur, Joseph découvre le milieu de la danse classique et rencontre la brillante Chloé, en pleine préparation du concours d'entrée au New York City Ballet. À travers cette rencontre, orchestrant l’alliance inattendue entre le hip-hop et la danse classique, Joseph va apprendre à se sentir légitime en tant que danseur et leader, et ainsi devenir artiste."
LEVANTE,https://www.cine974.com/film/levante/49026/, 1719,https://www.cine974.com/images/affiches/moyen/levante-1I3a7ZrI.jpg,"
								2023								",1719,3.6,1h39,2383, (20),1h39,Drame,Français,2023,Lillah Halla,"
	
			avec Ayomi Domenica, Loro Bardot, Grace Passô, Gláucia Vandeveld, Rômulo Braga,  plus...
	",, 3.6 | 20 avis ,"Sofia, une joueuse de volleyball prometteuse de 17 ans, apprend qu’elle est enceinte la veille d’un championnat qui peut sceller son destin. Ne voulant pas de cette grossesse, elle cherche à se faire avorter illégalement et se retrouve la cible d’un groupe fondamentaliste bien décidé à l’en empêcher à tout prix. Mais ni Sofia ni ses proches n’ont l’intention de se soumettre à l’aveugle ferveur de la masse."
MES RENDEZ-VOUS AVEC LEO,https://www.cine974.com/film/mes-rendez-vous-avec-leo/48085/, 1720,https://www.cine974.com/images/affiches/moyen/mes-rendez-vous-avec-leo-rR6xEJ61.jpg,"
								2022								",1720,3.6,1h37,5400, (20),1h37,Comédie,Britannique,2022,Sophie Hyde,"
	
			avec Emma Thompson, Daryl McCormack, Les Mabaleka, Lennie Beare, Carina Lopes,  plus...
	","conseillé en Amoureux, entre Amis, entre Filles, entre Mecs", 3.6 | 20 avis ,"Nancy Stokes, enseignante à la retraite, a vécu une vie sage et sans excès. Après la mort de son mari, elle est prise d'un inavouable désir d’aventure. Elle s’offre alors les services d’un jeune escort boy, Leo Grande. Mais cette rencontre improbable pourrait leur apporter bien plus que ce qu’ils recherchaient et bouleverser le cours de leur vie..."
GOOD BOYS,https://www.cine974.com/film/good-boys/40426/, 1721,https://www.cine974.com/images/affiches/moyen/good-boys-U2CYMdQ1.jpg,"
								2019								",1721,3.6,1h30,154482, (20),1h30,Comédie,Américain,2019,Gene Stupnitsky,"
	
			avec Jacob Tremblay, Keith L. Williams, Brady Noon, Molly Gordon, Midori Francis,  plus...
	","conseillé en Famille, en Amoureux, entre Amis, entre Filles, pour Marmailles, entre Mecs", 3.6 | 20 avis ,"Après avoir été invités à leur première fête, Max, Thor et Lucas, 12 ans, paniquent complètement parce qu’ils ne savent pas comment embrasser. À la recherche de conseils, Max, flanqué de ses deux inséparables amis, décide d’utiliser le drone de son père – auquel il n’a évidemment pas le droit de toucher – pour espionner la voisine et son petit ami. Mais tout prend une très mauvaise tournure quand le drone est détruit. Désespérés de devoir le remplacer avant le retour du père de Max, les garçons sèchent les cours pour se lancer dans une véritable odyssée, ponctuée par des choix plus catastrophiques les uns que les autres, allant du vol accidentel de drogue, à une partie de paintball désastreuse au milieu d’une fratrie universitaire, tout en tentant d’échapper à la police et à de terrifiantes adolescentes."
LITTLE GIRL BLUE,https://www.cine974.com/film/little-girl-blue/48938/, 1722,https://www.cine974.com/images/affiches/moyen/little-girl-blue-91CBLkmb.jpg,"
								2023								",1722,3.6,1h35,3288, (19),1h35,Documentaire,"Belge, Français",2023,Mona Achache,"
	
			avec Marion Cotillard, Mona Achache, Marie Bunel, Marie-Christine Adam, Pierre Aussedat,  plus...
	","conseillé en Amoureux, entre Amis, entre Filles, entre Mecs", 3.6 | 19 avis ,"À la mort de sa mère, Mona Achache découvre des milliers de photos, de lettres et d’enregistrements, mais ces secrets enfouis résistent à l’énigme de sa disparition. Alors par la puissance du cinéma et la grâce de l’incarnation, elle décide de la ressusciter pour rejouer sa vie et la comprendre."
"UN AN, UNE NUIT",https://www.cine974.com/film/un-an-une-nuit/48519/, 1723,https://www.cine974.com/images/affiches/moyen/un-an-une-nuit-wHH37Ini.jpg,"
								2022								",1723,3.6,2h00,4933, (19),2h00,Drame,"Espagnol, Français",2022,Isaki Lacuesta,"
	
			avec Nahuel Perez Biscayart, Noémie Merlant, Quim Gutiérrez, Alba Guilera, Natalia de Molina,  plus...
	",, 3.6 | 19 avis ,
FAHIM,https://www.cine974.com/film/fahim/43952/, 1724,https://www.cine974.com/images/affiches/moyen/fahim-WGYS8Ieu.jpg,"
								2019								",1724,3.6,1h47,49288, (19),1h47,Biopic,Français,2019,Pierre-François Martin-Laval,"
	
			avec Assad Ahmed, Gérard Depardieu, Isabelle Nanty, Mizanur Rahaman, Sarah Touffic Othman-Schmitt,  plus...
	","conseillé en Famille, en Amoureux, entre Amis, entre Filles, entre Mecs", 3.6 | 19 avis ,"Forcé de fuir son Bangladesh natal, le jeune Fahim et son père quittent le reste de la famille pour Paris. Dès leur arrivée, ils entament un véritable parcours du combattant pour obtenir l’asile politique, avec la menace d’être expulsés à tout moment. Grâce à son don pour les échecs, Fahim rencontre Sylvain, l’un des meilleurs entraîneurs d’échecs de France. Entre méfiance et attirance, ils vont apprendre à se connaître et se lier d’amitié. Alors que le Championnat de France commence, la menace d’expulsion se fait pressante et Fahim n’a plus qu’une seule chance pour s’en sortir : être Champion de France."
TURF,https://www.cine974.com/film/turf/16579/, 1725,https://www.cine974.com/images/affiches/moyen/turf-m56cnwqN.jpg,"
								2012								",1725,3.6,1h42,5427, (19),1h42,Comédie,Français,2012,Fabien Onteniente,"
	
			avec Alain Chabat, Edouard Baer, Philippe Duquesne, Lucien Jean-Baptiste, Vahina Giocante,  plus...
	",, 3.6 | 19 avis ,"C’est l’histoire de quatre potes, quatre petits Français : le Grec (l’ostéopathe), Fifi (qui vit chez sa mère, concierge), Fortuné (l’Antillais qui travaille à la Cogex), et Freddy (le flambeur). Ils fréquentent assidument un PMU parisien, Le Balto. Fatigués de perdre le peu qu’ils ont, ils veulent arrêter de jouer au Turf… Oui mais, selon la devise bien connue des turfistes : Jour de perte, veille de gain, le destin frappe au carreau ! Un destin qui porte des costumes de grand faiseur, un joueur de légende, connu comme le loup blanc sur tous les hippodromes, de tous les turfistes et… de la Police des Jeux : Monsieur Paul. Ce ""gentleman"" de retour aux affaires leur propose d’acheter un crack, en réalité une vielle carne : Torpille. Ils sont quatre… et décident d’acheter chacun une patte du canasson ! La bande du Balto entre alors dans le monde des propriétaires, des combines et des milliardaires d’Auteuil à Monte-Carlo. Vont-ils triompher ou tout perdre, même leur amitié ? Les chevaux sont sous les ordres !"
CORALINE,https://www.cine974.com/film/coraline/1511/, 1726,https://www.cine974.com/images/affiches/moyen/coraline-rnrKQzVv.jpg,"
								2009								",1726,3.6,1h40,9372, (19),1h40,Animation,,,Henry Selick,"
	
			avec Dakota Fanning, Teri Hatcher, Jennifer Saunders, Dawn French, Robert Bailey Jr.,  plus...
	","conseillé en Famille, pour Marmailles", 3.6 | 19 avis ,"Coraline Jones est une fillette intrépide et douée d'une curiosité sans limites. Ses parents, qui ont tout juste emménagé avec elle dans une étrange maison, n'ont guère de temps à lui consacrer. Pour tromper son ennui, Coraline décide donc de jouer les exploratrices. Ouvrant une porte condamnée, elle pénètre dans un appartement identique au sien... mais où tout est différent. Dans cet Autre Monde, chaque chose lui paraît plus belle, plus colorée et plus attrayante. Son Autre Mère est pleinement disponible, son Autre Père prend la peine de lui mitonner des plats exquis, et même le Chat, si hautain dans la Vraie vie, daigne s'entretenir avec elle. Coraline est bien tentée d'élire domicile dans ce Monde merveilleux, qui répond à toutes ses attentes. Mais le rêve va très vite tourner au cauchemar. Prisonnière de l'Autre Mère, Coraline va devoir déployer des trésors de bravoure, d'imagination et de ténacité pour rentrer chez elle et sauver sa Vraie famille..."
THE POD GENERATION,https://www.cine974.com/film/the-pod-generation/48689/, 1727,https://www.cine974.com/images/affiches/moyen/the-pod-generation-3vkFM4Uj.jpg,"
								2023								",1727,3.6,1h51,3708, (18),1h51,Comédie,"Américain, Belge, Français",2023,Sophie Barthes,"
	
			avec Emilia Clarke, Chiwetel Ejiofor, Vinette Robinson, Veerle Dejaeger, Lamara Strijdhaftig,  plus...
	",, 3.6 | 18 avis ,"Situé dans un futur proche où l'intelligence artificielle fait fureur et où la nature n'est plus qu'un lointain souvenir. Rachel et Alvy, un couple new-yorkais, souhaite fonder leur famille. Le travail de Rachel leur donne l'occasion d'utiliser un nouvel outil développé par un géant de la technologie, Pegasus, qui offre aux couples la possibilité de porter l'enfant de façon égalitaire via des utérus artificiels détachables, ou pods. Alvy, botaniste, a des doutes, mais son amour pour Rachel l'incite à accepter cette expérience. Et c'est ainsi que commence la folle aventure de la parentalité dans ce nouveau monde."
GUANTANAMERA,https://www.cine974.com/film/guantanamera/48533/, 1728,https://www.cine974.com/images/affiches/moyen/guantanamera-S7c8kRqC.jpg,"
								1995								",1728,3.6,1h45,3392, (18),1h45,Comédie,,1995,Tomas Gutierrez Alea,"
	
			avec Carlos Cruz, Mirta Ibarra, Jorge Perugorria, Raul Eguren, Pedro Fernandez,  plus...
	",, 3.6 | 18 avis ,"Georgina, 67 ans, se rend à Guantánamo pour voir sa nièce Gina et Cándido, un amour de jeunesse. La mort soudaine de Georgina donne le lancement du voyage de Cándido, Gina et son mari Adolfo, fonctionnaire, pour ramener le corps de Georgina chez elle en suivant le nouveau plan d'état conçu pour économiser de l'argent lors du transport des défunts.(wikipedia) Le titre de ce film provient de la fameuse chanson cubaine Guantanamera (fille de Guantánamo)."
AUGUST RUSH,https://www.cine974.com/film/august-rush/24772/, 1729,https://www.cine974.com/images/affiches/moyen/august-rush-Ycs5xcTt.jpg,"
								2008								",1729,3.6,1h53,7962, (18),1h53,Drame,Américain,,Kirsten Sheridan,"
	
			avec Freddie Highmore, Keri Russell, Jonathan Rhys-Meyers, Robin Williams, Terrence Howard,  plus...
	",, 3.6 | 18 avis ,
HAPPY NEW YEAR,https://www.cine974.com/film/happy-new-year/2246/, 1730,https://www.cine974.com/images/affiches/moyen/happy-new-year-5TkbT4mJ.jpg,"
								2014								",1730,3.6,3h00,3643, (18),3h00,Action,Indien,,Farah Khan,"
	
			avec Shah Rukh Khan, Deepika Padukone, Abhishek Bachchan, Boman Irani, Vivaan Shah,  plus...
	",, 3.6 | 18 avis ,
LE LABYRINTHE : LA TERRE BRÛLÉE,https://www.cine974.com/film/le-labyrinthe-la-terre-brulee/218/, 1731,https://www.cine974.com/images/affiches/moyen/le-labyrinthe---la-terre-br--l--e-TLkcc9u2.jpg,"
								2015								",1731,3.6,2h11,18655, (18),2h11,Action,Américain,,Wes Ball,"
	
			avec Dylan O'Brien, Ki Hong Lee, Kaya Scodelario, Thomas Brodie-Sangster, Rosa Salazar,  plus...
	",, 3.6 | 18 avis ,"Dans ce second volet de la saga épique LE LABYRINTHE, Thomas et les autres Blocards vont devoir faire face à leur plus grand défi, rechercher des indices à propos de la mystérieuse et puissante organisation connue sous le nom de WICKED. Or le monde qu’ils découvrent à l’extérieur du Labyrinthe a été ravagé par l’Apocalypse. Leur périple les amène à la Terre Brûlée, un paysage de désolation rempli d'obstacles inimaginables. Plus de gouvernement, plus d'ordre… et des hordes de gens en proie à une folie meurtrière qui errent dans les villes en ruine. Les Blocards vont devoir unir leurs forces avec d'autres combattants pour pouvoir affronter WICKED et tenter de défier son immense pouvoir."
"KAMALA HARRIS, UNE AMBITION AMÉRICAINE",https://www.cine974.com/film/kamala-harris-une-ambition-americaine/48609/, 1732,https://www.cine974.com/images/affiches/moyen/kamala-harris-une-ambition-americaine-DsmbRvdq.jpg,"
								2023								",1732,3.6,1h00,2929, (18),1h00,Documentaire,Français,2023,Marjolaine Grappe,"
	
			avec Kamala Harris, 
	",, 3.6 | 18 avis ,"Récit de l’irrésistible ascension d’une femme politique ambitieuse et charismatique, qui a su ""briser les barrières"" pour devenir la première vice-présidente des États-Unis."
ENORME,https://www.cine974.com/film/enorme/46153/, 1733,https://www.cine974.com/images/affiches/moyen/enorme-MUxrLxI6.jpg,"
								2019								",1733,3.6,1h41,10493, (17),1h41,Comédie,Français,2019,Sophie Letourneur,"
	
			avec Marina Foïs, Jonathan Cohen, Jacqueline Kakou, Ayala Cousteau, Victor Uzzan,  plus...
	",, 3.6 | 17 avis ,"Ça lui prend d’un coup à 40 ans : Frédéric veut un bébé, Claire elle n’en a jamais voulu et ils étaient bien d’accord là-dessus. Il commet l’impardonnable et lui fait un enfant dans le dos. Claire se transforme en baleine et Frédéric devient gnangnan."
LA GRANDE AVENTURE LEGO 2,https://www.cine974.com/film/la-grande-aventure-lego-2/40051/, 1734,https://www.cine974.com/images/affiches/moyen/la-grande-aventure-lego-2-p6XCdici.jpg,"
								2018								",1734,3.6,1h48,9706, (17),1h48,Animation,Américain,2018,Mike Mitchell (V),"
	
			avec Maya Rudolph, Jadon Sand, Brooklynn Prince, Arnaud Ducret, Tal,  plus...
	","conseillé en Famille, pour Marmailles", 3.6 | 17 avis ,"Alors que les habitants de Bricksburg coulent des jours heureux depuis cinq ans, une nouvelle et terrible menace se profile à l'horizon : des envahisseurs Lego Duplo® venus des confins de l'espace qui détruisent tout sur leur passage ! Pour vaincre ces redoutables ennemis et rétablir la paix dans l'univers Lego, Emmet, Lucy, Batman et leurs amis devront explorer des mondes lointains et inconnus. Ils découvriront même à cette occasion une étrange galaxie où chaque situation est une comédie musicale ! Cette nouvelle aventure mettra à l'épreuve leur courage, leur créativité et leurs facultés de Maîtres Constructeurs…"
L'AFFAIRE DOMINICI,https://www.cine974.com/film/l-affaire-dominici/23963/, 1735,https://www.cine974.com/images/affiches/moyen/l-affaire-dominici-86yErT9V.jpg,"
								1973								",1735,3.6,1h45,6152, (17),1h45,Drame,"Français, Italien, Espagnol",,Claude Bernard-Aubert,"
	
			avec Jean Gabin, Victor Lanoux, Max Amyl, Michel Bertay, Jean-Pierre Castaldi,  plus...
	",, 3.6 | 17 avis ,
PONYO SUR LA FALAISE,https://www.cine974.com/film/ponyo-sur-la-falaise/24994/, 1736,https://www.cine974.com/images/affiches/moyen/ponyo-sur-la-falaise-ztHIqvUf.jpg,"
								2009								",1736,3.6,1h41,5938, (17),1h41,Animation,Japonais,2009,Hayao Miyazaki,"
	
			avec Tomoko Yamaguchi, Hiroki Doi, Kazushige Nagashima, Rumi Hiiragi, Yuki Amami,  plus...
	","conseillé en Famille, pour Marmailles", 3.6 | 17 avis ,"Le petit Sosuke, cinq ans, habite un village construit au sommet d'une falaise qui surplombe la Mer Intérieure. Un beau matin, alors qu'il joue sur la plage en contrebas, il découvre une petite fille poisson rouge nommée Ponyo, piégée dans un pot de confiture. Sosuke la sauve, et décide de la garder avec lui dans un seau.Ponyo est aussi fascinée par Sosuke que ce dernier l'est par elle. Le petit garçon lui promet de la protéger et de s'occuper d'elle, mais le père de Ponyo, Fujimoto - un sorcier autrefois humain qui vit tout au fond de la mer - la force à revenir avec lui dans les profondeurs. Bien décidée à devenir humaine, Ponyo s'échappe pour retrouver Sosuke.Mais avant de prendre la fuite, elle répand l'élixir magique de Fujimoto, l'Eau de la Vie, dans l'océan. Le niveau de la mer s'élève, et les soeurs de Ponyo sont transformées en vagues gigantesques qui montent jusqu'à la maison de Sosuke sur la falaise, et engloutissent le village...Une petite fille et un petit garçon. L'amour et la responsabilité. La mer et l'essence de la vie. Véritable antidote à l'anxiété et aux doutes de notre époque, Ponyo sur la falaise est la fabuleuse histoire d'une mère et de son enfant."
MERCENAIRES,https://www.cine974.com/film/mercenaires/10258/, 1737,https://www.cine974.com/images/affiches/moyen/mercenaires-wlFjpNGB.jpg,"
								2011								",1737,3.6,1h27,56342, (16),1h27,Action,Britannique,2011,Paris Leonti,"
	
			avec Robert Fucilla, Billy Zane, Kirsty Mitchell, Geoff Bell, Vas Blackwood,  plus...
	",, 3.6 | 16 avis ,
BUS PALLADIUM,https://www.cine974.com/film/bus-palladium/28964/, 1738,https://www.cine974.com/images/affiches/moyen/bus-palladium-LTyleMw2.jpg,"
								2009								",1738,3.6,1h40,4523, (16),1h40,Comédie dramatique,Français,2009,Christopher Thompson,"
	
			avec Marc-André Grondin, Arthur Dupont, Jules Pelissier, Abraham Belaga, Elisa Sednaoui,  plus...
	",, 3.6 | 16 avis ,
